Model Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50
,,hanna_aleksandrowicz:LAbsAnkleAngle,,,hanna_aleksandrowicz:LAnkleAngles,,,hanna_aleksandrowicz:LElbowAngles,,,hanna_aleksandrowicz:LFootProgressAngles,,,hanna_aleksandrowicz:LHeadAngles,,,hanna_aleksandrowicz:LHipAngles,,,hanna_aleksandrowicz:LKneeAngles,,,hanna_aleksandrowicz:LNeckAngles,,,hanna_aleksandrowicz:LPelvisAngles,,,hanna_aleksandrowicz:LShoulderAngles,,,hanna_aleksandrowicz:LSpineAngles,,,hanna_aleksandrowicz:LThoraxAngles,,,hanna_aleksandrowicz:LWristAngles,,,hanna_aleksandrowicz:RAbsAnkleAngle,,,hanna_aleksandrowicz:RAnkleAngles,,,hanna_aleksandrowicz:RElbowAngles,,,hanna_aleksandrowicz:RFootProgressAngles,,,hanna_aleksandrowicz:RHeadAngles,,,hanna_aleksandrowicz:RHipAngles,,,hanna_aleksandrowicz:RKneeAngles,,,hanna_aleksandrowicz:RNeckAngles,,,hanna_aleksandrowicz:RPelvisAngles,,,hanna_aleksandrowicz:RShoulderAngles,,,hanna_aleksandrowicz:RSpineAngles,,,hanna_aleksandrowicz:RThoraxAngles,,,hanna_aleksandrowicz:RWristAngles,,,hanna_aleksandrowicz:CentreOfMass,,,hanna_aleksandrowicz:CentreOfMassFloor,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.228088,-1.947398,-73.279080,0.000000,0.000000,0.000000,-16.982231,-5.863617,-119.229013,-18.249121,-5.264299,5.100389,41.761382,-12.052956,0.000000,0.000000,0.000000,0.000000,-2.646423,13.159208,-122.345983,15.810175,31.655364,-42.056076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27.922558,0.557907,0.573836,0.000000,0.000000,0.000000,-16.982231,-5.863617,-119.229013,-21.048489,6.365659,130.493205,9.943613,7.677683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.191312,31.904287,119.996432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.368617,-2.754789,-95.007089,0.000000,0.000000,0.000000,-23.964591,-8.638746,-168.376051,-27.761149,-7.640111,13.226200,58.217417,-12.667838,0.000000,0.000000,0.000000,0.000000,-3.614019,18.962487,-174.365177,22.779291,45.024250,-59.908851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.888280,0.790585,1.342409,0.000000,0.000000,0.000000,-23.964591,-8.638746,-168.376051,-29.418745,9.016032,184.476632,13.978995,11.071093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-11.252285,45.570412,170.462932,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.459075,-2.476616,-69.676905,0.000000,0.000000,0.000000,-21.455193,-8.175688,-150.964646,-27.381815,-7.048620,19.007545,50.546824,-6.489514,0.000000,0.000000,0.000000,0.000000,-3.069524,17.493057,-158.331052,21.000391,40.771680,-54.365886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.317858,0.713762,9.404314,0.000000,0.000000,0.000000,-21.455193,-8.175688,-150.964646,-26.006330,8.098074,165.778251,12.508817,10.182530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.701328,41.517418,154.077163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,71.441541,-2.607009,-57.026719,0.000000,0.000000,0.000000,-22.486382,-8.872465,-158.499139,-30.619687,-7.452227,24.615157,50.588800,-4.237229,0.000000,0.000000,0.000000,0.000000,-3.067723,18.766334,-167.748180,22.500104,43.115887,-57.577240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.518250,0.755858,21.572612,0.000000,0.000000,0.000000,-22.486382,-8.872465,-158.499139,-27.043692,8.480815,174.574564,13.207144,10.834746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.905429,44.111890,162.668789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.205080,-2.507450,-40.497525,0.000000,0.000000,0.000000,-21.483087,-8.812203,-151.845554,-31.570273,-7.159476,28.682475,44.665199,-1.797174,0.000000,0.000000,0.000000,0.000000,-2.744606,18.480497,-162.528666,22.108123,41.688549,-55.762085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.348950,0.733849,24.871974,0.000000,0.000000,0.000000,-21.483087,-8.812203,-151.845554,-25.590926,8.083757,167.997729,12.790196,10.536735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.151530,42.907697,156.882891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70.906587,-2.557775,-39.914560,0.000000,0.000000,0.000000,-21.761155,-9.113207,-154.263440,-33.689735,-7.237696,32.114536,41.234973,-1.561585,0.000000,0.000000,0.000000,0.000000,-2.641270,19.178709,-166.459329,22.883054,42.658314,-57.099336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.245466,0.755981,13.373998,0.000000,0.000000,0.000000,-21.761155,-9.113207,-154.263440,-25.743247,8.165515,171.375727,13.165101,10.809324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9.036623,44.102879,160.065844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70.107420,-2.517593,-41.645619,0.000000,0.000000,0.000000,-21.228490,-9.052463,-151.046868,-34.759968,-7.088066,34.678306,35.461779,-1.659982,0.000000,0.000000,0.000000,0.000000,-2.447485,19.236422,-164.480818,22.881417,42.133461,-56.413809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.784897,0.752893,-5.361740,0.000000,0.000000,0.000000,-21.228490,-9.052463,-151.046868,-24.876588,7.962471,168.470575,13.071915,10.744637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.528736,43.769722,157.429012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70.871960,-2.538518,-40.934414,0.000000,0.000000,0.000000,-21.215611,-9.078746,-151.521532,-36.181622,-7.142163,36.932461,30.870680,-2.795425,0.000000,0.000000,0.000000,0.000000,-2.382965,19.668756,-166.148899,23.336441,42.587753,-56.994922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.154528,0.767688,-17.876814,0.000000,0.000000,0.000000,-21.215611,-9.078746,-151.521532,-24.630827,7.988336,169.363241,13.278356,10.965200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.263171,44.394918,158.346485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
