Model Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hanna_aleksandrowicz:LAbsAnkleAngle,,,hanna_aleksandrowicz:LAnkleAngles,,,hanna_aleksandrowicz:LElbowAngles,,,hanna_aleksandrowicz:LFootProgressAngles,,,hanna_aleksandrowicz:LHeadAngles,,,hanna_aleksandrowicz:LHipAngles,,,hanna_aleksandrowicz:LKneeAngles,,,hanna_aleksandrowicz:LNeckAngles,,,hanna_aleksandrowicz:LPelvisAngles,,,hanna_aleksandrowicz:LShoulderAngles,,,hanna_aleksandrowicz:LSpineAngles,,,hanna_aleksandrowicz:LThoraxAngles,,,hanna_aleksandrowicz:LWristAngles,,,hanna_aleksandrowicz:RAbsAnkleAngle,,,hanna_aleksandrowicz:RAnkleAngles,,,hanna_aleksandrowicz:RElbowAngles,,,hanna_aleksandrowicz:RFootProgressAngles,,,hanna_aleksandrowicz:RHeadAngles,,,hanna_aleksandrowicz:RHipAngles,,,hanna_aleksandrowicz:RKneeAngles,,,hanna_aleksandrowicz:RNeckAngles,,,hanna_aleksandrowicz:RPelvisAngles,,,hanna_aleksandrowicz:RShoulderAngles,,,hanna_aleksandrowicz:RSpineAngles,,,hanna_aleksandrowicz:RThoraxAngles,,,hanna_aleksandrowicz:RWristAngles,,,hanna_aleksandrowicz:CentreOfMass,,,hanna_aleksandrowicz:CentreOfMassFloor,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,0,0,0,0.000000,-0.000000,0.000000,69.615719,-2.597907,-97.959937,0,0,0,-22.659933,-7.777662,-159.083506,-24.115694,-6.997997,6.078022,55.753517,-16.641862,0.000000,0,0,0,-3.545833,17.514772,-163.058279,21.043663,42.200709,-56.054999,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.202149,0.744227,-0.000000,0,0,0,-22.659933,-7.777662,-159.083506,-28.118457,8.490689,174.088865,13.278858,10.218647,-0.000000,0,0,0,0,0,0,-10.964985,42.510639,159.986405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0.000000,-0.000000,0.000000,69.664059,-2.589584,-97.934727,0,0,0,-22.559673,-7.953351,-158.393140,-25.152105,-7.135959,9.614691,55.474251,-13.950209,0.000000,0,0,0,-3.474218,17.648731,-163.254217,21.205868,42.206466,-56.106406,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.311756,0.741821,165.514722,0,0,0,-22.559673,-7.953351,-158.393140,-27.801033,8.481128,173.377297,13.150507,10.333152,-0.000000,0,0,0,0,0,0,-10.724601,42.617116,159.864316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0.000000,-0.000000,0.000000,69.716829,-2.580811,0.000000,0,0,0,-22.448191,-8.125317,-157.709746,-26.183757,-7.230070,13.040157,54.836489,-11.388440,0.000000,0,0,0,-3.390792,17.789839,-163.460366,21.371797,42.209082,-56.159835,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.414396,0.740368,-157.905019,0,0,0,-22.448191,-8.125317,-157.709746,-27.502656,8.461637,172.732104,13.051982,10.424519,-0.000000,0,0,0,0,0,0,-10.496883,42.728573,159.747419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0.000000,-0.000000,0.000000,69.770819,-2.573042,-149.410984,0,0,0,-22.339315,-8.286459,-157.043538,-27.202374,-7.286478,16.287174,53.866518,-9.041872,0.000000,0,0,0,-3.297751,17.936637,-163.672313,21.544008,42.211438,-56.220176,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.506857,0.739150,-0.000000,0,0,0,-22.339315,-8.286459,-157.043538,-27.220649,8.431347,172.163702,12.982713,10.492762,-0.000000,0,0,0,0,0,0,-10.279202,42.843743,159.638564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0.000000,-0.000000,0.000000,69.831834,-2.565780,-149.126779,0,0,0,-22.228575,-8.439498,-156.388534,-28.202286,-7.310353,19.297145,52.596539,-6.982341,0.000000,0,0,0,-3.197723,18.087943,-163.886006,21.714889,42.212700,-56.273663,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.590095,0.738549,-0.000000,0,0,0,-22.228575,-8.439498,-156.388534,-26.953446,8.392510,171.670920,12.942130,10.545586,-0.000000,0,0,0,0,0,0,-10.067853,42.966641,159.523220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0.000000,-0.000000,0.000000,69.899755,-2.557700,-64.497727,0,0,0,-22.116528,-8.580318,-155.748242,-29.175595,-7.311295,22.045199,51.062721,-5.248970,0.000000,0,0,0,-3.094024,18.242197,-164.095927,21.886187,42.216964,-56.331568,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.664129,0.739701,-87.017402,0,0,0,-22.116528,-8.580318,-155.748242,-26.697428,8.348666,171.248770,12.925935,10.583564,-0.000000,0,0,0,0,0,0,-9.867126,43.089415,159.407780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.000000,-0.000000,0.000000,69.968128,-2.552128,0.000000,0,0,0,-22.002903,-8.709282,-155.123281,-30.116760,-7.293380,24.521135,49.300998,-3.857444,0.000000,0,0,0,-2.988738,18.398548,-164.299632,22.057437,42.222919,-56.393644,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.729138,0.739332,169.086304,0,0,0,-22.002903,-8.709282,-155.123281,-26.450162,8.298240,170.892813,12.930681,10.613599,-0.000000,0,0,0,0,0,0,-9.674876,43.212417,159.285910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0.000000,-0.000000,0.000000,70.041221,-2.546332,0.000000,0,0,0,-21.892726,-8.819156,-154.523305,-31.020983,-7.264561,26.731870,47.347957,-2.808219,0.000000,0,0,0,-2.885529,18.555825,-164.493596,22.223882,42.228552,-56.445147,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.785857,0.742337,-0.000000,0,0,0,-21.892726,-8.819156,-154.523305,-26.209167,8.246187,170.587867,12.950835,10.636111,-0.000000,0,0,0,0,0,0,-9.485923,43.340959,159.142738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
