Model Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hanna_aleksandrowicz:LAbsAnkleAngle,,,hanna_aleksandrowicz:LAnkleAngles,,,hanna_aleksandrowicz:LElbowAngles,,,hanna_aleksandrowicz:LFootProgressAngles,,,hanna_aleksandrowicz:LHeadAngles,,,hanna_aleksandrowicz:LHipAngles,,,hanna_aleksandrowicz:LKneeAngles,,,hanna_aleksandrowicz:LNeckAngles,,,hanna_aleksandrowicz:LPelvisAngles,,,hanna_aleksandrowicz:LShoulderAngles,,,hanna_aleksandrowicz:LSpineAngles,,,hanna_aleksandrowicz:LThoraxAngles,,,hanna_aleksandrowicz:LWristAngles,,,hanna_aleksandrowicz:RAbsAnkleAngle,,,hanna_aleksandrowicz:RAnkleAngles,,,hanna_aleksandrowicz:RElbowAngles,,,hanna_aleksandrowicz:RFootProgressAngles,,,hanna_aleksandrowicz:RHeadAngles,,,hanna_aleksandrowicz:RHipAngles,,,hanna_aleksandrowicz:RKneeAngles,,,hanna_aleksandrowicz:RNeckAngles,,,hanna_aleksandrowicz:RPelvisAngles,,,hanna_aleksandrowicz:RShoulderAngles,,,hanna_aleksandrowicz:RSpineAngles,,,hanna_aleksandrowicz:RThoraxAngles,,,hanna_aleksandrowicz:RWristAngles,,,hanna_aleksandrowicz:CentreOfMass,,,hanna_aleksandrowicz:CentreOfMassFloor,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,0,0,0,0.000000,-0.000000,0.000000,44.467594,-0.722220,-99.400194,0,0,0,-23.144742,16.861554,-9.856557,-20.609486,1.977662,30.664868,17.631150,-4.934981,0.000000,0,0,0,-0.055402,20.633507,4.025394,-15.613983,26.296362,-44.442998,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.611323,3.030358,-54.608534,0,0,0,-23.144742,16.861554,-9.856557,-24.259249,8.214590,167.439870,14.404899,10.108609,-0.000000,0,0,0,0,0,0,-13.830196,16.795773,125.435857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0.000000,-0.000000,0.000000,44.463793,-0.729665,50.193191,0,0,0,-23.121816,16.991730,-10.053172,-20.577678,2.009342,30.684164,17.606586,-4.933140,0.000000,0,0,0,-0.037992,20.636161,4.035049,-15.583324,26.371322,-44.467943,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.610274,3.028327,-0.000000,0,0,0,-23.121816,16.991730,-10.053172,-24.242523,8.184760,167.424836,14.383963,10.112896,-0.000000,0,0,0,0,0,0,-13.849393,16.770855,125.481581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0.000000,-0.000000,0.000000,44.460849,-0.733301,-155.245661,0,0,0,-23.103689,17.116294,-10.242875,-20.547197,2.039174,30.702780,17.584295,-4.931848,0.000000,0,0,0,-0.022436,20.637859,4.046896,-15.547358,26.443410,-44.491669,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.608163,3.027264,-0.000000,0,0,0,-23.103689,17.116294,-10.242875,-24.226482,8.157959,167.399996,14.366406,10.118169,-0.000000,0,0,0,0,0,0,-13.860772,16.749236,125.517004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0.000000,-0.000000,0.000000,44.459175,-0.731278,-100.227307,0,0,0,-23.085587,17.242605,-10.428757,-20.518464,2.066798,30.720091,17.563017,-4.928640,0.000000,0,0,0,-0.007624,20.639759,4.055470,-15.512690,26.515608,-44.522792,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.608633,3.026975,124.169803,0,0,0,-23.085587,17.242605,-10.428757,-24.209712,8.131735,167.368201,14.346168,10.125923,-0.000000,0,0,0,0,0,0,-13.877370,16.727109,125.559860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0.000000,-0.000000,0.000000,44.457061,-0.724606,149.893096,0,0,0,-23.060027,17.360198,-10.606406,-20.492729,2.090181,30.745483,17.548295,-4.925012,0.000000,0,0,0,0.005595,20.641857,4.065048,-15.483505,26.583832,-44.544912,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.604844,3.024557,-0.000000,0,0,0,-23.060027,17.360198,-10.606406,-24.194284,8.108196,167.318984,14.322764,10.137541,-0.000000,0,0,0,0,0,0,-13.893771,16.700143,125.600926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0.000000,-0.000000,0.000000,44.457360,-0.713610,25.381115,0,0,0,-23.044713,17.484301,-10.792084,-20.469348,2.116466,30.764836,17.534036,-4.915796,0.000000,0,0,0,0.018592,20.643763,4.071549,-15.452942,26.650159,-44.564407,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.603715,3.022390,123.383803,0,0,0,-23.044713,17.484301,-10.792084,-24.180347,8.083973,167.263444,14.302169,10.152641,-0.000000,0,0,0,0,0,0,-13.906553,16.676360,125.642118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.000000,-0.000000,0.000000,44.458246,-0.699595,-30.290746,0,0,0,-23.022740,17.598744,-10.958374,-20.448018,2.135233,30.791080,17.524741,-4.907327,0.000000,0,0,0,0.029007,20.645106,4.079966,-15.417965,26.715768,-44.595339,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.599717,3.021445,-0.000000,0,0,0,-23.022740,17.598744,-10.958374,-24.165081,8.065580,167.183291,14.275427,10.173051,-0.000000,0,0,0,0,0,0,-13.915925,16.651727,125.681824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0.000000,-0.000000,0.000000,44.455320,-0.681793,-129.530425,0,0,0,-23.004875,17.712959,-11.129007,-20.427351,2.153621,30.822695,17.517082,-4.897329,0.000000,0,0,0,0.038379,20.646054,4.087991,-15.386433,26.775799,-44.616118,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,37.594996,3.020830,-0.000000,0,0,0,-23.004875,17.712959,-11.129007,-24.150669,8.048992,167.098731,14.249524,10.191766,-0.000000,0,0,0,0,0,0,-13.921297,16.627426,125.712391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
