Model Outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;hanna_aleksandrowicz:LAbsAnkleAngle;;;hanna_aleksandrowicz:LAnkleAngles;;;hanna_aleksandrowicz:LElbowAngles;;;hanna_aleksandrowicz:LFootProgressAngles;;;hanna_aleksandrowicz:LHeadAngles;;;hanna_aleksandrowicz:LHipAngles;;;hanna_aleksandrowicz:LKneeAngles;;;hanna_aleksandrowicz:LNeckAngles;;;hanna_aleksandrowicz:LPelvisAngles;;;hanna_aleksandrowicz:LShoulderAngles;;;hanna_aleksandrowicz:LSpineAngles;;;hanna_aleksandrowicz:LThoraxAngles;;;hanna_aleksandrowicz:LWristAngles;;;hanna_aleksandrowicz:RAbsAnkleAngle;;;hanna_aleksandrowicz:RAnkleAngles;;;hanna_aleksandrowicz:RElbowAngles;;;hanna_aleksandrowicz:RFootProgressAngles;;;hanna_aleksandrowicz:RHeadAngles;;;hanna_aleksandrowicz:RHipAngles;;;hanna_aleksandrowicz:RKneeAngles;;;hanna_aleksandrowicz:RNeckAngles;;;hanna_aleksandrowicz:RPelvisAngles;;;hanna_aleksandrowicz:RShoulderAngles;;;hanna_aleksandrowicz:RSpineAngles;;;hanna_aleksandrowicz:RThoraxAngles;;;hanna_aleksandrowicz:RWristAngles;;;hanna_aleksandrowicz:CentreOfMass;;;hanna_aleksandrowicz:CentreOfMassFloor;;
Frame;Sub Frame;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
;;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;mm;mm;mm;mm;mm;mm
1;0;0;0;0;0.000000;-0.000000;0.000000;69.147333;-1.426793;30.530347;0;0;0;-13.219365;1.212960;76.367102;-12.004344;3.582298;-17.648666;30.601342;-32.095384;0.000000;0;0;0;1.042987;21.173331;-83.465276;23.573927;40.636416;-63.197433;0;0;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;-0.000000;37.098073;0.519229;-84.369670;0;0;0;-13.219365;1.212960;76.367102;-39.692486;9.922497;-157.598002;6.761224;8.473708;-0.000000;0;0;0;0;0;0;-14.831838;43.116893;162.517468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0.000000;-0.000000;0.000000;69.155980;-1.423214;38.058025;0;0;0;-13.426501;1.227248;76.448937;-11.850491;3.158192;-18.362307;30.850129;-32.394797;0.000000;0;0;0;0.762978;21.101771;-83.361661;23.424657;40.635816;-63.055310;0;0;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;-0.000000;37.055645;0.523928;-0.000000;0;0;0;-13.426501;1.227248;76.448937;-39.005142;10.259728;-159.664832;6.915804;8.665408;-0.000000;0;0;0;0;0;0;-14.760403;43.213149;162.596723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0.000000;-0.000000;0.000000;69.159546;-1.420826;0.000000;0;0;0;-13.630490;1.245341;76.537934;-11.814967;2.720096;-18.917630;31.386116;-32.732387;0.000000;0;0;0;0.504348;21.017003;-83.221947;23.302489;40.634443;-62.928702;0;0;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;-0.000000;37.011990;0.527684;-0.000000;0;0;0;-13.630490;1.245341;76.537934;-38.319368;10.579844;-161.623564;7.070214;8.867922;-0.000000;0;0;0;0;0;0;-14.672455;43.304353;162.660837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0.000000;-0.000000;0.000000;69.163123;-1.419327;31.356359;0;0;0;-13.830512;1.273826;76.624115;-11.899600;2.270794;-19.298994;32.210725;-33.088781;0.000000;0;0;0;0.267251;20.922385;-83.039545;23.205320;40.633827;-62.810831;0;0;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;-0.000000;36.968167;0.533592;101.002285;0;0;0;-13.830512;1.273826;76.624115;-37.638193;10.883754;-163.433573;7.229500;9.077494;-0.000000;0;0;0;0;0;0;-14.567947;43.385603;162.707532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0.000000;-0.000000;0.000000;69.163999;-1.417396;0.000000;0;0;0;-14.024337;1.303909;76.728048;-12.106333;1.814616;-19.499101;33.321588;-33.440240;0.000000;0;0;0;0.053156;20.821392;-82.818354;23.135225;40.631966;-62.708895;0;0;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;-0.000000;36.924477;0.538250;102.308154;0;0;0;-14.024337;1.303909;76.728048;-36.965181;11.168420;-165.068551;7.393423;9.284296;-0.000000;0;0;0;0;0;0;-14.447337;43.456734;162.736391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0.000000;-0.000000;0.000000;69.163842;-1.415752;0.000000;0;0;0;-14.207407;1.342818;76.836552;-12.433532;1.352026;-19.502234;34.708329;-33.755080;0.000000;0;0;0;-0.140036;20.717850;-82.554373;23.088782;40.629078;-62.613828;0;0;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;-0.000000;36.881763;0.543093;15.780145;0;0;0;-14.207407;1.342818;76.836552;-36.304009;11.435334;-166.527957;7.565071;9.488694;-0.000000;0;0;0;0;0;0;-14.308155;43.518345;162.748258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0.000000;-0.000000;0.000000;69.159548;-1.415006;-56.874700;0;0;0;-14.373639;1.381172;76.956327;-12.879746;0.884898;-19.304676;36.353676;-33.999873;0.000000;0;0;0;-0.312099;20.614836;-82.252002;23.070711;40.629206;-62.540615;0;0;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;-0.000000;36.841001;0.548038;-164.457973;0;0;0;-14.373639;1.381172;76.956327;-35.657991;11.686624;-167.812511;7.742893;9.679382;-0.000000;0;0;0;0;0;0;-14.153094;43.566304;162.739528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0.000000;-0.000000;0.000000;69.153464;-1.413583;0.000000;0;0;0;-14.532893;1.433278;77.091066;-13.439430;0.411110;-18.887525;38.232691;-34.133118;0.000000;0;0;0;-0.465952;20.515009;-81.910788;23.074917;40.626292;-62.476851;0;0;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;-0.000000;36.803511;0.551989;-0.000000;0;0;0;-14.532893;1.433278;77.091066;-35.030309;11.919298;-168.938790;7.930380;9.862317;-0.000000;0;0;0;0;0;0;-13.980949;43.601164;162.710831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
