Model Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50
,,hanna_aleksandrowicz:LAbsAnkleAngle,,,hanna_aleksandrowicz:LAnkleAngles,,,hanna_aleksandrowicz:LElbowAngles,,,hanna_aleksandrowicz:LFootProgressAngles,,,hanna_aleksandrowicz:LHeadAngles,,,hanna_aleksandrowicz:LHipAngles,,,hanna_aleksandrowicz:LKneeAngles,,,hanna_aleksandrowicz:LNeckAngles,,,hanna_aleksandrowicz:LPelvisAngles,,,hanna_aleksandrowicz:LShoulderAngles,,,hanna_aleksandrowicz:LSpineAngles,,,hanna_aleksandrowicz:LThoraxAngles,,,hanna_aleksandrowicz:LWristAngles,,,hanna_aleksandrowicz:RAbsAnkleAngle,,,hanna_aleksandrowicz:RAnkleAngles,,,hanna_aleksandrowicz:RElbowAngles,,,hanna_aleksandrowicz:RFootProgressAngles,,,hanna_aleksandrowicz:RHeadAngles,,,hanna_aleksandrowicz:RHipAngles,,,hanna_aleksandrowicz:RKneeAngles,,,hanna_aleksandrowicz:RNeckAngles,,,hanna_aleksandrowicz:RPelvisAngles,,,hanna_aleksandrowicz:RShoulderAngles,,,hanna_aleksandrowicz:RSpineAngles,,,hanna_aleksandrowicz:RThoraxAngles,,,hanna_aleksandrowicz:RWristAngles,,,hanna_aleksandrowicz:CentreOfMass,,,hanna_aleksandrowicz:CentreOfMassFloor,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.535542,-1.553937,11.762807,0.000000,0.000000,0.000000,-7.236448,-3.380843,-48.286590,-40.087802,-9.118581,38.768991,33.333041,21.652355,0.000000,0.000000,0.000000,0.000000,-4.730485,9.482403,70.342378,13.803765,37.457031,-33.374245,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.959686,0.361287,-110.508644,0.000000,0.000000,0.000000,-7.236448,-3.380843,-48.286590,-24.982985,9.724152,-130.142664,41.869912,12.727373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.941962,30.965607,119.870662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.778837,-2.178971,4.586768,0.000000,0.000000,0.000000,-10.071487,-4.748027,-68.854752,-57.304734,-13.189528,55.779335,42.763252,26.520818,0.000000,0.000000,0.000000,0.000000,-6.798633,13.582981,100.177208,18.917592,53.269181,-46.558151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.519955,0.515892,-34.255622,0.000000,0.000000,0.000000,-10.071487,-4.748027,-68.854752,-34.915995,14.023297,-157.971951,59.748800,19.070229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.868223,44.027674,169.825911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,61.956172,-1.937355,-5.919185,0.000000,0.000000,0.000000,-8.876727,-4.214663,-62.555035,-51.978328,-12.201844,51.251273,33.045387,18.425806,0.000000,0.000000,0.000000,0.000000,-6.263371,12.421102,90.910636,16.182547,48.239329,-40.982713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.365422,0.472682,61.308374,0.000000,0.000000,0.000000,-8.876727,-4.214663,-62.555035,-30.790576,12.926612,-73.659887,54.251210,18.556997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.362408,39.871019,152.890225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,65.254979,-2.027701,-3.449725,0.000000,0.000000,0.000000,-9.262129,-4.377144,-66.275770,-54.550352,-13.062124,54.657988,30.868851,14.855016,0.000000,0.000000,0.000000,0.000000,-6.736887,13.228169,96.346972,16.299850,51.029166,-42.373882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.426824,0.509609,47.221990,0.000000,0.000000,0.000000,-9.262129,-4.377144,-66.275770,-31.834620,13.818545,19.121068,57.300957,20.737908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.092798,42.199902,160.895184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.759929,-1.939891,10.187399,0.000000,0.000000,0.000000,-8.848040,-4.128850,-64.204159,-51.933903,-12.774647,53.326258,25.038230,8.626449,0.000000,0.000000,0.000000,0.000000,-6.664246,12.905591,93.443873,14.707195,49.361276,-39.740666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.887664,0.508963,11.641439,0.000000,0.000000,0.000000,-8.848040,-4.128850,-64.204159,-29.819805,13.517908,126.228899,55.171228,21.481531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.092230,40.860160,154.536440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.937107,-1.977555,35.211663,0.000000,0.000000,0.000000,-9.048869,-4.140570,-65.737885,-52.050884,-13.083728,54.778062,22.184618,4.410644,0.000000,0.000000,0.000000,0.000000,-6.942222,13.303539,95.880324,14.134692,50.522079,-39.623029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.596086,0.540695,-19.120181,0.000000,0.000000,0.000000,-9.048869,-4.140570,-65.737885,-29.633702,13.903588,184.011872,55.994398,23.173193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.570770,41.864610,157.212137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.814781,-1.947713,58.643396,0.000000,0.000000,0.000000,-8.962717,-4.006887,-64.942754,-50.128678,-12.854240,54.250575,18.070590,-0.262314,0.000000,0.000000,0.000000,0.000000,-6.962951,13.269074,94.985619,12.884808,49.896022,-37.905798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.872643,0.559425,-8.723619,0.000000,0.000000,0.000000,-8.962717,-4.006887,-64.942754,-28.185234,13.773482,201.005710,54.600855,24.197464,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.820865,41.382922,154.194538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,63.193949,-1.970778,69.235941,0.000000,0.000000,0.000000,-9.153908,-4.003327,-65.590758,-49.402397,-12.781780,54.743990,15.390928,-3.447216,0.000000,0.000000,0.000000,0.000000,-7.068396,13.555620,96.236973,12.058117,50.407747,-37.224489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.062293,0.592181,13.754344,0.000000,0.000000,0.000000,-9.153908,-4.003327,-65.590758,-27.423530,13.868132,185.969554,54.210683,25.474560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.350041,41.820044,154.890750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
