Model Outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hanna_aleksandrowicz:LAbsAnkleAngle,,,hanna_aleksandrowicz:LAnkleAngles,,,hanna_aleksandrowicz:LElbowAngles,,,hanna_aleksandrowicz:LFootProgressAngles,,,hanna_aleksandrowicz:LHeadAngles,,,hanna_aleksandrowicz:LHipAngles,,,hanna_aleksandrowicz:LKneeAngles,,,hanna_aleksandrowicz:LNeckAngles,,,hanna_aleksandrowicz:LPelvisAngles,,,hanna_aleksandrowicz:LShoulderAngles,,,hanna_aleksandrowicz:LSpineAngles,,,hanna_aleksandrowicz:LThoraxAngles,,,hanna_aleksandrowicz:LWristAngles,,,hanna_aleksandrowicz:RAbsAnkleAngle,,,hanna_aleksandrowicz:RAnkleAngles,,,hanna_aleksandrowicz:RElbowAngles,,,hanna_aleksandrowicz:RFootProgressAngles,,,hanna_aleksandrowicz:RHeadAngles,,,hanna_aleksandrowicz:RHipAngles,,,hanna_aleksandrowicz:RKneeAngles,,,hanna_aleksandrowicz:RNeckAngles,,,hanna_aleksandrowicz:RPelvisAngles,,,hanna_aleksandrowicz:RShoulderAngles,,,hanna_aleksandrowicz:RSpineAngles,,,hanna_aleksandrowicz:RThoraxAngles,,,hanna_aleksandrowicz:RWristAngles,,,hanna_aleksandrowicz:CentreOfMass,,,hanna_aleksandrowicz:CentreOfMassFloor,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,0,0,0,0.000000,-0.000000,0.000000,59.055198,-0.373863,-46.355218,0,0,0,-19.443501,6.656137,-1.098258,-17.413237,7.959997,-8.195042,14.976693,-19.117134,0.000000,0,0,0,-0.872799,21.463642,3.786421,21.930369,41.241677,-58.843088,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,35.546070,0.841583,-157.944471,0,0,0,-19.443501,6.656137,-1.098258,-46.859883,3.480204,-140.197472,7.549464,3.075158,-0.000000,0,0,0,0,0,0,-18.129835,36.539164,166.694436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0.000000,-0.000000,0.000000,59.096757,-0.358399,0.000000,0,0,0,-19.264746,6.573030,-0.880016,-17.121353,7.918151,-8.756929,15.294986,-19.371642,0.000000,0,0,0,-0.794095,21.480660,3.524351,22.159059,41.393309,-58.909144,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,35.603958,0.839160,168.466331,0,0,0,-19.264746,6.573030,-0.880016,-47.065613,3.421144,-139.273970,7.195566,3.381842,-0.000000,0,0,0,0,0,0,-18.198923,36.647261,166.834547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0.000000,-0.000000,0.000000,59.131123,-0.344338,16.387006,0,0,0,-19.085013,6.483783,-0.657847,-16.808979,7.835590,-9.318563,15.628920,-19.624670,0.000000,0,0,0,-0.731145,21.478349,3.240460,22.360989,41.542886,-58.952983,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,35.670491,0.838472,162.858558,0,0,0,-19.085013,6.483783,-0.657847,-47.243009,3.366130,-138.549035,7.009505,3.554663,-0.000000,0,0,0,0,0,0,-18.269892,36.751852,166.970303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0.000000,-0.000000,0.000000,59.156997,-0.331290,14.847755,0,0,0,-18.901202,6.386280,-0.432023,-16.475544,7.710964,-9.889691,15.982512,-19.879986,0.000000,0,0,0,-0.684274,21.453570,2.926833,22.526078,41.683465,-58.954841,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,35.743333,0.836373,-17.129462,0,0,0,-18.901202,6.386280,-0.432023,-47.381677,3.306871,-138.048796,6.967560,3.613771,-0.000000,0,0,0,0,0,0,-18.343165,36.853642,167.104920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0.000000,-0.000000,0.000000,59.171895,-0.319766,0.000000,0,0,0,-18.721137,6.287989,-0.202838,-16.122320,7.538573,-10.479516,16.359040,-20.140857,0.000000,0,0,0,-0.657612,21.403710,2.586560,22.656901,41.813989,-58.927897,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,35.819619,0.837393,174.767240,0,0,0,-18.721137,6.287989,-0.202838,-47.472805,3.252603,-137.780560,7.049137,3.576370,-0.000000,0,0,0,0,0,0,-18.419165,36.953385,167.230871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0.000000,-0.000000,0.000000,59.185310,-0.308975,0.000000,0,0,0,-18.538723,6.180933,0.033140,-15.750812,7.315437,-11.094599,16.763991,-20.414088,0.000000,0,0,0,-0.653492,21.326030,2.220393,22.750324,41.936944,-58.873985,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,35.896294,0.838745,-17.149630,0,0,0,-18.538723,6.180933,0.033140,-47.508345,3.207241,-137.762555,7.238213,3.462732,-0.000000,0,0,0,0,0,0,-18.497530,37.050630,167.348949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0.000000,-0.000000,0.000000,59.193884,-0.301117,18.817725,0,0,0,-18.362183,6.084343,0.260972,-15.364424,7.040741,-11.745286,17.204367,-20.706385,0.000000,0,0,0,-0.672925,21.218576,1.828200,22.803924,42.048421,-58.783169,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,35.968992,0.840634,86.135763,0,0,0,-18.362183,6.084343,0.260972,-47.482252,3.171339,-137.990752,7.527784,3.294119,-0.000000,0,0,0,0,0,0,-18.578541,37.144370,167.466533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0.000000,-0.000000,0.000000,59.199241,-0.295716,0.000000,0,0,0,-18.189305,5.978415,0.498904,-14.966723,6.708915,-12.440115,17.686023,-21.034908,0.000000,0,0,0,-0.717791,21.079054,1.414226,22.821191,42.150200,-58.672603,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,-0.000000,36.034255,0.843230,-0.000000,0,0,0,-18.189305,5.978415,0.498904,-47.389669,3.152397,-138.472249,7.912281,3.088700,-0.000000,0,0,0,0,0,0,-18.662207,37.234414,167.575574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
